listings.id,listings.host_id,listings.property_type,listings.room_type,listings.accommodates,listings.price,listings.security_deposit,listings.cleaning_fee,listings.guests_included,listings.extra_people,listings.minimum_nights,listings.availability_365,listings.cancellation_policy,listings.neighborhood_id
12997563,16050115,P6,R2,4,75,150,25,2,15,2,160,C2,52
14296844,45237292,P1,R1,12,320,500,120,4,35,1,94,C2,52
1434078,5402236,P5,R1,6,149,300,50,5,35,4,353,C1,52
11156910,48678475,P3,R1,5,195,500,60,1,0,2,47,C1,52
9281539,43058066,P1,R2,2,96,436,44,2,9,3,331,C1,52
11589928,20521416,P1,R1,4,90,500,75,2,50,2,277,C1,52
5414968,27736437,P1,R1,5,399,475,75,1,0,1,87,C2,52
17206887,55692255,P9,R1,4,99,300,39,2,25,2,321,C1,52
4936142,20079282,P1,R1,2,135,100,75,1,0,2,19,C1,52
17134567,17661665,P1,R2,2,85,125,50,1,0,2,56,C2,52
325842,1666599,P3,R1,6,379,500,150,1,0,6,336,C2,52
11965767,63912106,P8,R1,2,135,300,50,1,0,1,294,C2,52
415547,2067035,P3,R2,2,92,250,50,1,25,2,339,C1,52
4596953,5358026,P1,R1,2,150,200,40,1,0,1,240,C1,52
14057387,45397962,P1,R1,5,129,100,165,1,0,3,27,C1,52
699284,3586103,P1,R1,14,800,500,200,10,25,3,343,C1,52
16911368,6171563,P1,R1,2,150,100,50,2,20,2,57,C2,52
6560525,7485336,P8,R2,2,99,300,45,2,50,2,100,C1,52
17526379,76641557,P1,R1,2,63,200,25,2,0,3,196,C2,52
15122395,68280856,P8,R1,3,68,100,25,2,15,2,0,C2,52
16805644,10656654,P1,R1,5,95,100,30,2,15,1,106,C2,52
14406174,39828960,P1,R1,2,65,200,30,1,0,2,33,C3,122
14126662,2907254,P1,R3,1,21,95,7,1,0,1,362,C1,122
14465114,56861768,P1,R2,3,59,100,25,1,20,1,353,C1,122
14590533,56861768,P1,R2,2,62,100,20,2,15,1,297,C1,122
1488883,517499,P1,R2,2,70,100,65,1,20,2,92,C1,122
3720111,517499,P1,R2,2,115,100,50,1,15,1,0,C1,122
1656439,517499,P1,R1,4,250,250,150,2,20,3,9,C1,122
3317508,15438417,P1,R1,3,180,400,35,2,20,3,316,C1,122
7802208,35241159,P1,R1,4,188,500,30,4,50,1,183,C2,122
2051505,10513357,P1,R1,4,235,200,30,4,25,2,157,C2,122
789429,1185573,P8,R2,2,99,100,40,1,20,365,365,C1,122
14902763,16584100,P15,R1,2,94,400,30,2,50,1,186,C3,122
14187344,64088997,P1,R1,3,99,200,35,2,25,2,9,C2,122
18005807,122545577,P1,R1,3,95,300,100,1,0,3,241,C1,122
